"filename", "language", "PHP", "JavaScript", "HTML", "Markdown", "CSS", "XML", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\laragon\www\grado\public\vendors\d3\d3.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\laragon\www\grado\public\vendors\datatables.net-bs4\dataTables.bootstrap4.css", "CSS", 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 10, 207
"c:\laragon\www\grado\public\vendors\datatables.net-bs4\dataTables.bootstrap4.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 26, 28, 185
"c:\laragon\www\grado\public\vendors\datatables.net\jquery.dataTables.js", "JavaScript", 0, 6333, 0, 0, 0, 0, 0, 0, 0, 6985, 1979, 15297
"c:\laragon\www\grado\public\vendors\dragula\dragula.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\grado\public\vendors\dragula\dragula.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\grado\public\vendors\dropify\dropify.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 0, 0, 6, 0, 8
"c:\laragon\www\grado\public\vendors\dropify\dropify.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 10
"c:\laragon\www\grado\public\vendors\dropzone\dropzone.css", "CSS", 0, 0, 0, 0, 383, 0, 0, 0, 0, 4, 2, 389
"c:\laragon\www\grado\public\vendors\dropzone\dropzone.js", "JavaScript", 0, 2376, 0, 0, 0, 0, 0, 0, 0, 616, 539, 3531
"c:\laragon\www\grado\public\vendors\flag-icon-css\css\flag-icon.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\grado\public\vendors\flot\curvedLines.js", "JavaScript", 0, 274, 0, 0, 0, 0, 0, 0, 0, 134, 76, 484
